"","ai","aj","goodness"
"254",0.51,0.02,98.6334505500386
"255",0.52,0.02,98.8622275216079
"256",0.53,0.02,99.0910044931773
"257",0.54,0.02,99.3197814647467
"258",0.55,0.02,99.5485584363161
"259",0.56,0.02,99.7773354078855
"260",0.57,0.02,100.006112379455
"261",0.58,0.02,100.234889351024
"262",0.59,0.02,100.463666322594
"263",0.6,0.02,100.692443294163
"264",0.61,0.02,100.921220265732
"265",0.62,0.02,101.149997237302
"266",0.63,0.02,101.378774208871
"267",0.64,0.02,101.607551180441
"268",0.65,0.02,101.83632815201
"269",0.66,0.02,102.065105123579
"270",0.67,0.02,102.293882095149
"271",0.68,0.02,102.522659066718
"272",0.69,0.02,102.751436038287
"273",0.7,0.02,102.980213009857
"274",0.71,0.02,103.208989981426
"275",0.72,0.02,103.437766952996
"276",0.73,0.02,103.666543924565
"277",0.74,0.02,103.895320896134
"278",0.75,0.02,104.124097867704
"279",0.76,0.02,104.352874839273
"280",0.77,0.02,104.581651810843
"281",0.78,0.02,104.810428782412
"282",0.79,0.02,105.039205753981
"283",0.8,0.02,105.267982725551
"284",0.81,0.02,105.49675969712
"285",0.82,0.02,105.725536668689
"286",0.83,0.02,105.954313640259
"287",0.84,0.02,106.183090611828
