"","ai","aj","goodness"
"506",0.325,0.3,0.421915
"507",0.35,0.3,0.45437
"508",0.375,0.3,0.486825
"509",0.4,0.3,0.51928
"510",0.425,0.3,0.551735
"511",0.45,0.3,0.58419
"512",0.475,0.3,0.616645
"513",0.5,0.3,0.6491
"514",0.525,0.3,0.681555
"515",0.55,0.3,0.71401
"516",0.575,0.3,0.746465
"517",0.6,0.3,0.77892
"518",0.625,0.3,0.811375
"519",0.65,0.3,0.84383
"520",0.675,0.3,0.876285
"521",0.7,0.3,0.90874
"522",0.725,0.3,0.941195
"523",0.75,0.3,0.97365
"524",0.775,0.3,1.006105
"525",0.8,0.3,1.03856
"526",0.825,0.3,1.071015
"527",0.85,0.3,1.10347
"528",0.875,0.3,1.135925
"529",0.9,0.3,1.16838
"530",0.925,0.3,1.200835
"531",0.95,0.3,1.23329
"532",0.975,0.3,1.265745
"533",1,0.3,1.2982
"534",0,0.325,0
"535",0.025,0.325,0.03307625
"536",0.05,0.325,0.0661525
"537",0.075,0.325,0.09922875
"538",0.1,0.325,0.132305
"539",0.125,0.325,0.16538125
"540",0.15,0.325,0.1984575
"541",0.175,0.325,0.23153375
"542",0.2,0.325,0.26461
"543",0.225,0.325,0.29768625
"544",0.25,0.325,0.3307625
"545",0.275,0.325,0.36383875
"546",0.3,0.325,0.396915
"547",0.325,0.325,0.42999125
"548",0.35,0.325,0.4630675
"549",0.375,0.325,0.49614375
"550",0.4,0.325,0.52922
"551",0.425,0.325,0.56229625
"552",0.45,0.325,0.5953725
"553",0.475,0.325,0.62844875
"554",0.5,0.325,0.661525
"555",0.525,0.325,0.69460125
"556",0.55,0.325,0.7276775
"557",0.575,0.325,0.76075375
"558",0.6,0.325,0.79383
"559",0.625,0.325,0.82690625
"560",0.65,0.325,0.8599825
"561",0.675,0.325,0.89305875
"562",0.7,0.325,0.926135
"563",0.725,0.325,0.95921125
"564",0.75,0.325,0.9922875
"565",0.775,0.325,1.02536375
"566",0.8,0.325,1.05844
"567",0.825,0.325,1.09151625
"568",0.85,0.325,1.1245925
"569",0.875,0.325,1.15766875
"570",0.9,0.325,1.190745
"571",0.925,0.325,1.22382125
"572",0.95,0.325,1.2568975
"573",0.975,0.325,1.28997375
"574",1,0.325,1.32305
"575",0,0.35,0
"576",0.025,0.35,0.0336975
"577",0.05,0.35,0.067395
"578",0.075,0.35,0.1010925
"579",0.1,0.35,0.13479
"580",0.125,0.35,0.1684875
"581",0.15,0.35,0.202185
"582",0.175,0.35,0.2358825
"583",0.2,0.35,0.26958
"584",0.225,0.35,0.3032775
"585",0.25,0.35,0.336975
"586",0.275,0.35,0.3706725
"587",0.3,0.35,0.40437
"588",0.325,0.35,0.4380675
"589",0.35,0.35,0.471765
"590",0.375,0.35,0.5054625
"591",0.4,0.35,0.53916
"592",0.425,0.35,0.5728575
"593",0.45,0.35,0.606555
"594",0.475,0.35,0.6402525
"595",0.5,0.35,0.67395
"596",0.525,0.35,0.7076475
"597",0.55,0.35,0.741345
"598",0.575,0.35,0.7750425
"599",0.6,0.35,0.80874
"600",0.625,0.35,0.8424375
"601",0.65,0.35,0.876135
"602",0.675,0.35,0.9098325
"603",0.7,0.35,0.94353
"604",0.725,0.35,0.9772275
"605",0.75,0.35,1.010925
"606",0.775,0.35,1.0446225
"607",0.8,0.35,1.07832
"608",0.825,0.35,1.1120175
"609",0.85,0.35,1.145715
"610",0.875,0.35,1.1794125
"611",0.9,0.35,1.21311
"612",0.925,0.35,1.2468075
"613",0.95,0.35,1.280505
"614",0.975,0.35,1.3142025
"615",1,0.35,1.3479
"616",0,0.375,0
"617",0.025,0.375,0.03431875
"618",0.05,0.375,0.0686375
"619",0.075,0.375,0.10295625
"620",0.1,0.375,0.137275
"621",0.125,0.375,0.17159375
"622",0.15,0.375,0.2059125
"623",0.175,0.375,0.24023125
"624",0.2,0.375,0.27455
"625",0.225,0.375,0.30886875
"626",0.25,0.375,0.3431875
"627",0.275,0.375,0.37750625
"628",0.3,0.375,0.411825
"629",0.325,0.375,0.44614375
"630",0.35,0.375,0.4804625
"631",0.375,0.375,0.51478125
"632",0.4,0.375,0.5491
"633",0.425,0.375,0.58341875
"634",0.45,0.375,0.6177375
"635",0.475,0.375,0.65205625
"636",0.5,0.375,0.686375
"637",0.525,0.375,0.72069375
"638",0.55,0.375,0.7550125
"639",0.575,0.375,0.78933125
"640",0.6,0.375,0.82365
"641",0.625,0.375,0.85796875
"642",0.65,0.375,0.8922875
"643",0.675,0.375,0.92660625
"644",0.7,0.375,0.960925
"645",0.725,0.375,0.99524375
"646",0.75,0.375,1.0295625
"647",0.775,0.375,1.06388125
"648",0.8,0.375,1.0982
"649",0.825,0.375,1.13251875
"650",0.85,0.375,1.1668375
"651",0.875,0.375,1.20115625
"652",0.9,0.375,1.235475
"653",0.925,0.375,1.26979375
"654",0.95,0.375,1.3041125
"655",0.975,0.375,1.33843125
"656",1,0.375,1.37275
"657",0,0.4,0
"658",0.025,0.4,0.03494
"659",0.05,0.4,0.06988
"660",0.075,0.4,0.10482
"661",0.1,0.4,0.13976
"662",0.125,0.4,0.1747
"663",0.15,0.4,0.20964
"664",0.175,0.4,0.24458
"665",0.2,0.4,0.27952
"666",0.225,0.4,0.31446
"667",0.25,0.4,0.3494
"668",0.275,0.4,0.38434
"669",0.3,0.4,0.41928
"670",0.325,0.4,0.45422
"671",0.35,0.4,0.48916
"672",0.375,0.4,0.5241
"673",0.4,0.4,0.55904
"674",0.425,0.4,0.59398
"675",0.45,0.4,0.62892
"676",0.475,0.4,0.66386
"677",0.5,0.4,0.6988
"678",0.525,0.4,0.73374
"679",0.55,0.4,0.76868
"680",0.575,0.4,0.80362
"681",0.6,0.4,0.83856
"682",0.625,0.4,0.8735
"683",0.65,0.4,0.90844
"684",0.675,0.4,0.94338
"685",0.7,0.4,0.97832
"686",0.725,0.4,1.01326
"687",0.75,0.4,1.0482
"688",0.775,0.4,1.08314
"689",0.8,0.4,1.11808
"690",0.825,0.4,1.15302
"691",0.85,0.4,1.18796
"692",0.875,0.4,1.2229
"693",0.9,0.4,1.25784
"694",0.925,0.4,1.29278
"695",0.95,0.4,1.32772
"696",0.975,0.4,1.36266
"697",1,0.4,1.3976
"698",0,0.425,0
"699",0.025,0.425,0.03556125
"700",0.05,0.425,0.0711225
"701",0.075,0.425,0.10668375
"702",0.1,0.425,0.142245
"703",0.125,0.425,0.17780625
"704",0.15,0.425,0.2133675
"705",0.175,0.425,0.24892875
"706",0.2,0.425,0.28449
"707",0.225,0.425,0.32005125
"708",0.25,0.425,0.3556125
"709",0.275,0.425,0.39117375
"710",0.3,0.425,0.426735
"711",0.325,0.425,0.46229625
"712",0.35,0.425,0.4978575
"713",0.375,0.425,0.53341875
"714",0.4,0.425,0.56898
"715",0.425,0.425,0.60454125
"716",0.45,0.425,0.6401025
"717",0.475,0.425,0.67566375
"718",0.5,0.425,0.711225
"719",0.525,0.425,0.74678625
"720",0.55,0.425,0.7823475
"721",0.575,0.425,0.81790875
"722",0.6,0.425,0.85347
"723",0.625,0.425,0.88903125
"724",0.65,0.425,0.9245925
"725",0.675,0.425,0.96015375
"726",0.7,0.425,0.995715
"727",0.725,0.425,1.03127625
"728",0.75,0.425,1.0668375
"729",0.775,0.425,1.10239875
"730",0.8,0.425,1.13796
"731",0.825,0.425,1.17352125
"732",0.85,0.425,1.2090825
"733",0.875,0.425,1.24464375
"734",0.9,0.425,1.280205
"735",0.925,0.425,1.31576625
"736",0.95,0.425,1.3513275
"737",0.975,0.425,1.38688875
"738",1,0.425,1.42245
"739",0,0.45,0
"740",0.025,0.45,0.0361825
"741",0.05,0.45,0.072365
"742",0.075,0.45,0.1085475
"743",0.1,0.45,0.14473
"744",0.125,0.45,0.1809125
"745",0.15,0.45,0.217095
"746",0.175,0.45,0.2532775
"747",0.2,0.45,0.28946
"748",0.225,0.45,0.3256425
"749",0.25,0.45,0.361825
"750",0.275,0.45,0.3980075
"751",0.3,0.45,0.43419
"752",0.325,0.45,0.4703725
"753",0.35,0.45,0.506555
"754",0.375,0.45,0.5427375
"755",0.4,0.45,0.57892
"756",0.425,0.45,0.6151025
"757",0.45,0.45,0.651285
"758",0.475,0.45,0.6874675
